Expected,Predicted
satıyor olmalı mıydık,satıyor olmalı mıydık
hamızlarından,hamizlerinden
ovmaz mıydı,ovmaz mıydı
yıpranmamalı mıymışsınız,yıpranmameli miymişsiniz
hüzünlerde,hüzünlerde
manivelanızda,manivelanızda
dokuyor olmalısın,dokuyor olmalısın
barışmamalılar mıydı,barışmamalılar mıydı
sahipli yazılımlarımızı,sahipli yazılımlarımızı
yanıt vermedim mi,yanıt vermedim mi
onayacak olacak mısın,onayacak olacak mısın
tıklamış olacaktın,tıklamış olacaktın
prostatınızdan,prostatınızdan
damlarlar mı,damlarlar mı
hareket ediyor olacaktınız,hareket ediyor olacaktınız
dolmeliler,dolmeliler
yaratılarda,yaratılarda
kırdırtmayacakmışım,kırdırtmayacakmışım
kurutuyor olmalıydınız,kurutuyor olmalıydınız
fındık kıracak olmayacağım,fındık kıracak olmayacağım
geyimizde,geyimizde
ilklendirmezler mi,ilklendirmezler mi
sivrisineklerinin,sivrisineklerinin
kovuluyor olmazdınız,kovuluyor olmazdınız
keselerimiz,keselerimiz
kırdırmamış,kırdırmamış
ilerletecek olacak mıymışız,ilerletecek olacak mıymışız
gazetenizi,gazetenizi
yaptırtır mı,yaptırtır mı
kurtarmamelisin,kurtarmamelisin
karıştırıyor olmamalı mıymışız,karıştırıyor olmamalı mıymışız
ipeklere,ipeklere
baltamızın,baltamızın
yakışıklıyız,yakışıklıyız
ispatlamış mıydı,ispatlamış mıydı
kozlarmışım,kozlarmışım
akrebinizi,akrebinizi
öksürmeyecek miyim,öksürmeyecek miyim
haberleşiyor olmayacak mıydı,haberleşiyor olmayacak mıydı
sürülecek olacak mı,sürülecek olacak mı
onamamışmış,onamamışmış
yoldurtmuşum,yoldurtmuşum
salıyor olacak mıyız,salıyor olacak mıyız
öğretmeyiniz,öğretmeyiniz
sarılmadı mı,sarılmadı mı
ibnelerinde,ibnende
taşeronlarından,taşeronlarından
emmez,emmez
kovar mısınız,kovar mısınız
mezarlıklarından,mezarlıklarından
dervişlerinizden,dervişlerinizden
çıkarıyor olmamalı mıymışsın,çıkarıyor olmamalı mıymışsın
söz vermiş olacağız,söz vermiş olacağız
kaynaştırtıyor olmayacakmışım,kaynaştırtıyor olmayacakmışım
kaplanlarda,kaplanlarda
yırtar mıymışsın,yırtar mıymışsın
süründürüyor olmalıydın,süründürüyor olmalıydın
içereceksiniz,içereceksiniz
heyecanlanmıyor musunuz,heyecanlanmıyor musunuz
ağlamamışmışız,ağlamamışmışız
şikâyet eder olmayacakmışız,şikâyet eder olmayacakmışız
aldırtırmacak olmayacağım,aldırtırmacak olmayacağım
güzelleştirmiştiniz,güzelleştirmiştiniz
gülmemeli miydim,gülmemeli miydim
dublörlerinizden,dublörlerinizden
mimlerde,mimlerde
süt sağmadın,süt sağmadın
kâğıtları,kâğıtları
imreniyor olmayacakmışsın,imreniyor olmayacakmışsın
bakıcıydık,bakıcıydık
kovdurtmalı mıymışsın,kovdurtmalı mıymışsın
duracak mısın,duracak mı
koklamıyorlar mı,koklamıyorlar mı
kanıtladı mıydı,kanıtladı mıydı
parçalanıyor olmamalıydınız,parçalanıyor olmamalıydınız
itmeli miymişsiniz,itmeli miymişsiniz
tayfalardın,tayfalardın
yalın durumunuza,yalın durumunuza
saksolarında,saksolarında
saklamıyormuşsunuz,saklamıyormuşsunuz
ayarlanmazmışsınız,ayarlanmazmışsınız
el sıkışıyor olmayacaktık,el sıkışıyor olmayacaktık
sıyırmayınız,sıyırmayınız
edebiyatından,edebiyatından
gelirlerinde,gelirinde
büyüleyici değildi,büyüleyici değildi
sekecek olacakmışım,sekecek olacakmışım
helvalarından,helvalarından
dövmeyeceklermiş,dövmeyeceklermiş
solumuyor muyduk,solumuyor muyduk
kalıbı dinlendiriyor olacağım,kalıbı dinlendiriyor olacağım
oturmalıymışsınız,oturmalıymışsınız
panteistte,pantestde
kurtarmayacak mısınız,kurtarmayacak mısınız
sürünüyor muymuşuz,sürünüyor muymuşuz
kanıtladılardı,kanıtladılardı
dönmüş müymüşüz,dönmüş müymüşüz
bir avuç toprak olmuştunuz,bir avuç toprak olmuştunuz
eğer miyiz,eğer miyiz
yağmanızda,yağmanızda
işletimdi,işletimdı
süründürtmeyecekmişim,süründürtmeyecekmişim
saydırmayacak mısınız,saydırmayacak mısınız
savunmadılar mıydı,savunmadılar mıydı
yapar,yapar
kıymıştın,kıymıştın
bahtsızmışım,bahtsızmışım
gidilir misiniz,gidilir misiniz
sikişmemeli miyim,sikişmemeli miyim
cisimlerimiz,cisimlerimiz
kanıtlamadıydınız,kanıtlamadıydınız
ittirtilmemeli miymişsin,ittirtilmemeli miymişsin
ittirtildiydik,ittirtildiydik
yoldurtmamış mıymışım,yoldurtmamış mıyım
giymiş olacaklardı,giymiş olacaklardı
acıktırtmamışlardı,acıktırtmışlardı
çürüyor olurlar mıydı,çürüyor olurlar mıydı
embriyolarım,embriyolarım
acıları,acıları
yapılıyor olurdum,yapılıyor olurdum
efelerdik,efelerdik
dövüşecek olmayacağım,dövüşecek olmayacağım
el sıkışıyor olacağız,el sıkışıyor olacağız
yoluyor olmayacaktın,yoluyor olmayacaktın
şişin,şişin
saklamalı mıymışsınız,saklamalı mıymışsınız
tıkar mısınız,tıkar mısınız
cavlağı çekmemiş miydi,cavlağı çekmemiş miydi
sunusu,sunusu
Hakk'ın rahmetine kavuşuyor olacak mıymışsınız,Hakk'ın rahmetine kavuşuyor olacak mıymışsınız
deşmemeli,deşmemeli
alındırmalı mıymışsın,alındırmalı mıymışsın
çevirmiş olacak mıyız,çevirmiş olacak mıyız
boşanacak olacak mısın,boşanacak olacak mısın
dövmenizde,dövmenizde
güvercinlerinde,güvercinlerinde
irdelerdik,irdelirdik
dirilmemiştim,dirilmemiştim
çök,çök
yumuşakçanıza,yumuşakçanıza
değişecektin,değişecektin
ölçülmüyorduk,ölçülmüyorduk
siniyor olurdum,siniyor olurdum
ölçecekler mi,ölçecekler mi
seziyor olurduk,seziyor olurduk
yoğuruyor olacak mıyım,yoğuruyor olacak mıyım
yapılmış olacak mısın,yapılmış olacaksın
gerdik mi,gerdik mi
eğitecekler miydi,eğitecekler miydi
küsmezsin,küsmezsin
beklemiyorlar,beklemiyorlar
kötüleştiriyor olmalı mıyız,kötüleştiriyor olmalı mıyız
samankapanlarında,samankapanında
kıymayacağım,kıymayacağım
karıştırtmıyordum,karıştırtmıyordum
arzuhalcinizin,arzuhalcinizin
işlemiyorsun,işlemiyorsun
bakmış olacak mısın,bakış olacak mısın
taramameli misin,taramameli misin
sayıyor olmamalılar mıydı,sayıyor olmamalılar mıydı
işlemelerimiz,işlemelerimiz
peruğumuzda,peruğumuzda
ölecek olmayacağım,ölecek olmayacağım
dondurmamışmışız,dondurmamışmışiz
osuruyor olmalıydınız,osuruyor olmalıydınız
programlattırmayacakmışım,programlattırmayacakmışım
kaynaştırtılacak olacakmışım,kaynaştırtılacakmışım
öğretiyor olmayacaklar mıydı,öğretiyor olmayacaklar mıydı
pişirir olmayacakmışım,pişirir olmayacakmışım
kanlılığımızda,kanlılığımızda
yaymıyorum,yaymıyorum
sahifenizden,sahifenizden
bitirtiyor olmamalıydınız,bitirtiyor olmamalıydınız
kakıyor olacak mıymışım,kakıyor olacak mıymışım
eziyetçilerimize,eziyetçilerimize
buluşmayacağım,buluşmayacağım
tırtıllarda,tırtıllarda
sarımsaklarınızda,sarımsaklarınızda
ettirtecek olmayacak mı,ettirtecek olmayacak mı
patronu,patronu
iletmeyeceğim,iletmeyeceğim
büktürmeli miymişiz,büktürmeli miymişiz
ortamımızın,ortamımızın
ummalıydı,ummalıydı
sıyırıyor olmalıyım,sıyırıyor olmalıyım
aldırtmayacak mıyım,aldırtmayacak mıyım
yanlış değilsiniz,yanlış değilsiniz
mimari desenimizin,mimari desenimizin
sürterim,sürterim
ellemeyiniz,ellemeyiniz
çökertir misiniz,çökertir misiniz
savunacakmışsınız,savunacakmışsınız
sürülüyor olmamalı,sürülüyor olmamalı
yanmamalıymışsınız,yanmamalıymışsınız
yoldururdu,yoldururdu
ölçerdin,ölçerdin
yabancılarımız,yabancılarımız
kovdurttuydum,kovdurttuydum
hamburgerinin,hamburgerinin
türevlerinizden,türevlerinizden
pabuçlarının,pabuclarının
ölçtürmemişmişiz,ölçtürmemişmişiz
sikiyorum,sikiyorum
ittirtilecek olacakmışım,ittirtilecek olacakmışım
hava atmazdın,hava atmazdın
ekşimeyecektim,ekşiyecektim
süspansuarı,süspansuarı
yenici deyiminize,yenici deyiminize
çiçeydik,çiçeydık
yaptırıyor olmalı mıydık,yapırıyor olmalı mıydık
artçı sarsıntılarmışım,artçı sarsıntılarmışım
karmaşık sayıymış,karmaşık sayın
can vermeli miyiz,can vermeli miyiz
bekleyecekmişim,bekleyecekmişim
cüzzamlarda,cüzzamlarda
vapurduk,vapurduk
kıskanacak olacakmışsınız,kıskanacak olacakmışsınız
beyaz eşyayız,beyaz eşyayız
ittiriyor olacak mıymışsınız,ittiriyor olacak mıymışsınız
daldırmak,daldırmak
darılıyor olmamalı mıyım,darılıyor olmamalı mıyım
iğrenmemiş miydiniz,iğrenmemiş miydiniz
utanıyor olur muydu,utanıyor olur muydu
sümürmez,sümürmez
kasmadık mı,kasmadık mı
gezmediydim,gezmediydim
çıngırağı çekmemeli mi,çıngırağı çekmemeli mi
yaptırmış olacak mıyım,yaptırmış olacak mıyım
haberleşiyor olmayacak mıydık,haberleşiyor olmayacak mıydık
gecikiyor olacağız,gecikiyor olacağız
göndermeyecekmişim,göndermeyecekmişim
geciktirtmez miyiz,geciktirtmez miyiz
havuzunuzdan,havuzunuzdan
çalgıları,çalıları
bunuyor olacak mıydık,bunuyor olacak mıydık
tanışmış olacaklardı,tanışış olacaklardı
âşıkmışız,âşıkmışız
yumuyor olmamalı mıydın,yumuyor olmamalı mıydın
bastonuna,bastonuna
sikişmiş olacaklardı,sikişmiş olacaktı
süt sağmış mıydınız,süt sağmış mıydınız
sinmemeli mi,sinmemeli mi
kimliğimizden,kimliğimizden
birleşmemiş miydin,birleşmemiş miydin
silkerdim,silkerdim
kürkünüze,kürkünüze
asmamelisiniz,asınız
sözcülerdik,sözcülerdik
alışıyor olmamalı mısınız,alışıyor olmamalı mısınız
duymamıştık,duymamıştık
kakın,kak
eşofmanında,eşofmanında
karnabaharlarınızda,karnabaharlarınızda
yerleşmiyor muymuşsunuz,yerleşmiyormuşsunuz
yorgun değilmişsiniz,yorgun değilmişsiniz
meşalelerdi,meşalelerdi
çıldırttım mı,çıldırttım mı
kızlıklarından,kızlıklarından
içerecek olacak mısınız,içerecek olacak mısınız
agnostisizmleri,agnostisizmleri
kaynaştırılmamalı mıymışsın,kaynaştırmamalı mıymışsın
kovmeli miyiz,kovmeli miyiz
gözlemeyecektim,gözlemeyecektim
yitmezmişiz,yitmezmişiz
soluyor olmalısın,soluyor olmalısın
konmameli misiniz,konmameli misiniz
buharlaşmıyordun,buharlaşmıyordun
çökertmemişler mi,çökertmemişler mi
kaynamayacaktın,kaynamayacaktın
kaynıyor olmalı mıyız,kaynıyor olmalı mıyız
aldırmam,aldırmam
içli köftenizde,içli köftenizde
ittirtiliyor olmalıyım,ittirtiliyor olmalıyım
kuvvetsizlikte,kuvvetsizlikte
asmamışlar mı,asmamışlar mı
acıktırtıyormuş,acıktırtıyormuş
göçmeyecekmişim,göçmeyecekmişim
otostopçularda,otostopçularda
sosisli sandviçde,sosisli sandviçte
acıkmış olacağız,acıkmış olacağız
yenilmeliyim,yenilmeliyim
aktörlerinden,aktörlerinden
dövmüyorlarmış,dövmüyorlarmış
alındırtmış mıydım,alındırtmış mıydım
sevmeyeceğiz,seveceğiz
kopmamış mıydın,kopmuş muydun
geriyormuş,geriyormuş
teoreminiz,teoreminiz
gecikmedi mi,gecikmedi mi
cümlelerdin,cümlelerdin
yaptırır olmayacakmışsınız,acıktırır olmayacakmışsınız
eğdiydim,eğdiydim
kesende,kesende
öksürür olmayacaklarmış,öksür olmayacaklarmış
bilyemizin,bilyemizin
düklerimize,düklerimize
boşalmameliler mi,boşalmameliler mi
yendirtmemiş miydi,yendirtmemiş miydi
dedikodu yapmamış mıydım,dedikodu yapmamış mıydım
öğrenmedi mi,öğrenmedi mi
işliyor olmalı mıymışsınız,işliyor olmalı mıydınız
bayılır olacakmışız,bayılır olacakmışız
vurmadım mı,vurmadım mı
döndürüyor olmayacak mıydınız,döndüruyor olmayacak mıydınız
bıkıyor olmaz mıydık,bıkıyor olmaz mıydık
okumuyordun,okumuydun
soğurmadıydınız,soğurmadğınız
sunuluyor olmayacaklar,sunuluyor olmayacaklar
yeterliklerinin,yeterliklerinin
kırılır olmayacak mıymış,kırılır olmayacak mıymış
birleşmediydiniz,birleşmediydiniz
deliyor olacak mıyım,deliyor olacak mıyım
rahatsızlanıyor olacak mıydım,rahatsızlanıyor olacak mıydım
tartıyor olmamalı,tartıyor olmamalı
yontulursun,yontulursun
tıkmış olmayacağız,tıkmış olmayacağiz
silmemişlermiş,silmemişlermiş
getirmiyor muyum,getirmiyor muyum
boy ölçüşmemeliler mi,boy ölçüşmemeliler mi
abartıyor olmalıydın,abartıyor olmalıydın
terlikleri,terlikleri
katılaşıyor olmamalı mıymışız,katılaşıyor olmamalı mıymışız
hava atıyor olurdum,hava atıyor olurdum
sümürmüyor muyum,sümürmüyor muyum
yuvalarımız,yuvalarımız
çatmayacaktın,çatmayacaktın
kaçıracak mısın,kaçirecek misin
kızmayacak mıyız,kızmayacak mıyız
titremeyecekti,titremeyecekti
değişiyor olmayacaklar mıydı,değişiyor olmayacaklar mıydı
fotoğraf çekerler mi,fotoğraf çekerler mi
bohçalarımız,bohçalarımız
komikleşiyor olmalı mısın,komikleşiyor olmalı mısın
düşmeli miymişiz,düşmeli miymişiz
soluyor olacaksınız,soluyor olacaksınız
tiplerinizden,tiplerinizden
çarmıha geriyor olmalı mıydık,çarmıha geriyor olmalı mıydık
İngilizceleştiriyor olmamalı mısınız,İngilizceleştiriyor olmamalı mısınız
yılan hikâyelerine,yılan hikâyelerine
doğruculuğuna,doğruculuğuna
öldürtülecekmişsiniz,öldürtülecekmişsiniz
mimari desenlerinden,mimari desenlerinden
kolikandan,kolikandan
dövüyor muymuşum,dövüyor muymuşum
laçolarımız,laçolarımız
hemzemin geçidinin,hemzemin geçidinin
kozmonotunuzdan,kozmonotunuzdan
diyor mu,diyor mu
sığmalıymışız,sığmalıymışız
salamız,salamız
kusmayınız,kusmayınız
sarılacak olacak mıymışız,sarılacak olacak mıymışız
ölümsüzleştirirdim,ölümsüzleştirirdim
yummameli misiniz,yummameli misiniz
aşık oluyor olmamalıyız,aşık oluyor olmamalıyız
aşık oluyor olacak mıydım,aşık oluyor olacak mıydım
zarfları,zarflar
boyacıda,boyacıda
büyümüş olmayacak mısınız,büyümüş olmayacak mısınız
süzecek olacak mıyım,süzecek olacak mıyım
kulağını bükmüş olmayacaktım,kulağını bükmüş olmayacaktım
karıştırmazdınız,karıştırmazdınız
kullanılıyor olmayacaklar,kullanılıyor olmayacaklar
cinsellikleri,cinsellikleri
damlamamışım,damlamamışım
hamburgerinizde,hamburgerinizde
dalgalanmış olmayacak mıydık,dalgalanmış olmayacak mıydık
levreklerimizi,levreklerimizi
havadan karaya füzenizi,havadan karaya füzenizi
çökermiş olacak mıydın,çökermiş olacak mıydın
hayalî arkadaşının,hayalî arkadaşının
barış çubuklarına,barış çubuklarına
düşünecektin,düşünecektin
kullanmıyor musunuz,kullanmıyor musunuz
enfeksiyonda,enfeksiyonda
aldırtacakmışsınız,aldırtacakmışsınız
dalmamış mıymışım,dalmamış mıyım
şaşırttırmaz,şaşırttırmaz
sümürmedi miydin,sümürmedi miydin
değişiyor olacak mıydınız,dışıyor olacak mıydınız
çürümüş olacaktın,çürümüş olacaktın
öldürüyor olacak mıydık,öldürüyor olur muyduk
tarayacak olacak mıyım,tarayacak olacak mıyım
attırmadı mıydın,attırmadı mıydın
uğratılmaz mıymışsın,uğratilmaz mıymışsın
alkışımızın,alkışımızın
kaynaştırtmaz mıydınız,kaynaştırtmaz mıydınız
çalışıyor olmayacaktık,çalışıyor olmayacaktık
müşterilerdim,müşterilerdim
kapı yapmazmışız,kapı yapmazmışız
yalvarmayacakmışım,yalvarmayacakmışım
verdirmiş olacak mıyım,verdirmiş olacak mıyım
bakıcılarsın,bakıcılarsın
birleştirir olacak mıymışsınız,birleştirir olacak mıymışsınız
tutmuş olmayacaktınız,tutmuş olmayacaktınız
öpüşmemeliler mi,öpüşmemeliler mi
üşüyor olacak mıydık,üşüyor olacak mıydık
kullanıyor musunuz,kullanıyor musunuz
bükülür müydün,bükülür müydün
sanmeli miyim,sanmeli miyim
sik kafada,sik kafada
canlanmayacak mıyım,canlanmayacak mıyım
taşıyor olmamalı mıyız,taşıyor olmamalı mıyız
toplayacaklar mıymış,toplayacaklar mıymış
bıçaklarımıza,bıçaklarımıza
caminde,caminde
iğreniyor olmaz mıydık,iğreniyor olmaz mıydık
kurbağalamalarının,kurbağalamalarının
ettirmiş olmayacak mısınız,ettirmiş olmayacaksınız
göçer misin,göçer misin
uyarır olmayacakmışsın,uyarır olmayacakmışsın
irdeler olmayacak mıymış,irdelir olmayacak mıymış
zaferdi,zaferdi
kullanılmamıştı,kullanılmamıştı
kenarlarınızda,kenarlarınızda
videomuzdan,videomuzdan
midyenden,midyenden
sattırtıyor olmayacaklardı,sattırtıyor olmayacaklardı
burkacak mıymışsın,burkar mıymışsın
itiliyor olmamalıymışız,itiliyor olmamalıymışız
Mogadişulularından,Mogadişulularından
beyitlerinden,beyitlerinden
aşıyor olmazlardı,aşıyor olmazlardı
dış ağımızdan,dış ağımızdan
gerinecek olacak mısın,gerinecek olacak mısın
otuz bir çekmeyecek miydin,otuz bir çekmeyecek miydin
hazcılıklarından,hazcılıklarından
sürünmüyor musunuz,sürünmüyor musunuz
yoldurmamalıymışsın,yoldurmamalıymışsın
çizmeciyiz,çizmeciyiz
atıştırıyor olmamalı mıymışsın,atıştırıyor olmamalı mıymışsın
gücenecek olacak mıyız,gücenecek olacak mıyız
geliştiriyor muymuşsun,geliştiriyor muymuşsun
rahmetli olur mu,rahmetli olur mu
saldırıyor olmamalı mıymışız,saldırıyor olmamalı mıymışız
anlatmamış mı,anlatmamış mı
cinsel tercihte,cinsel tercihte
baydık,baydık
yolunmuş muymuşum,yolunmuş muymuşum
batıyormuşsunuz,batıyormuşsunuz
öldürtülüyor olurlar mıydı,öldürtülüyor olurlar mıydı
güzelleştirecekti,güzelleştirecekti
hastalanıyor olmayacak mıydık,hastalanıyor olmayacak mıydık
kirletiyor olurlar mıydı,kirletiyor olurlar mıydı
gözlüyor olmalıydım,gözlüyor olmalıydım
İngilizceleştirmemişim,İngilizceleştirmemişim
bitirtmişler,bitirtmişler
coşuyor olmamalı mıyım,coşuyor olmamalı mıyım
fevt olmazlar mıydı,fevt olmazlar mıydı
bıkıyor olmayacağım,bıkıyor olmayacağım
ağlamamışmış,ağlamamışmış
söz vermişim,söz vermişim
doymamış,doymuş
yağar mısın,yağar mısın
dağıtımlarımız,dağıtımlarımız
ürümemiş miymişsin,ürümemiş miymişsin
erdemli değilsiniz,erdemli değilsiniz
baldızınızın,baldızınız
canlanmış mısınız,canlanmış mısınız
taşıyor olurlar mıydı,taşıyor olurlar mıydı
nefes almış olmayacak mı,nefes almış olmayacak mı
kışkırtacak olacak mısın,kışkırtacak olacak mısın
bildirmeyecek misin,bildirmeyecek misin
sürünüyor olurduk,sürünüyor olurduk
fortladı mıydınız,fortladı mıydık
yaptırtmamış mıymışsınız,yaptırtmamış mıymışsınız
sekmezler mi,sekmezler mi
yetersizliklerimize,yetersizliklerimize
uçuyor olmayacaktın,uçuyor olmayacaktın
otostopçularmışsınız,otostopçularmışız
uyuyor olmamalı mıydın,uyuyor olmamalı mıydın
cezalandıracak olmayacak mıymışsın,cezalandıracak olmayacakmışsın
sunmaz mıyız,sunmaz mıyız
tarayacak olacak mıyız,tarayacak olacak mıyız
getirecek olmayacak mıymışsınız,getirecek oltacak mıymışsınız
misketlersin,misketlersin
itilmemişim,itilmemişim
zaferine,zaferine
ördü müydük,ördü müydük
bükülecek olacakmışım,bükülecek olacakmışım
sığıyor olmaz mıydı,sığıyor olmaz mıydı
tüyümüzün,tüymüzün
kırdırırız,kırdırız
oturmazmışsınız,oturmazmışsınız
güneş dışı gezegenlerimize,güneş dışı gezegenlerimize
haçlarından,haçlarından
piskoposlarınızda,piskoposlunuzda
fortlayacakmışsınız,fortlayacakmışsınız
konmadıydım,konmadıydım
kakmamışlarmış,kakmamışlarmış
dürmemeliyim,dürmemeliyim
kaybolmalı mıydık,kaybolmalı mıydık
verdirtmemiş,verdirtmemiş
kaynaştırmak,kaynaştırmak
heyecanlanıyor olacaktınız,heyecanlanıyor olacaktınız
askerimizden,askerimizden
sapmadıydık,sapmadıydık
azmış olmayacaklar mıydı,azıcılar mıydı
depresyonlarda,depresyonlarda
yolundurtmamalı mıymışsın,yolundurtmameli miymişsin
sönmemeli miyim,sönmemeli miyim
cezalandırmadıydım,cezalandırmadıydım
duş alıyor olmalıymışsınız,duş alıyor olmalıymışsınız
yalvarmış olmayacağız,yalvarmış olmayacağız
