Expected,Predicted
yapmaz mıymışsınız,yapar mıymışsınız
sürtüyor olmamalısın,sürtüyor olmamalısın
kalıbı dinlendirmiş olacaklar,kalıbı dinlendirmiş olacaklar
büktürtüyor olmalıymışım,büktürtüyor olmalıymışım
çiftmişler,çiftmiş
köygöçürenin,köygöçüreninin
müstahdemdiler,müstahdemdi
kalıbı dinlendiriyor olur muydun,kalıbı dinlendiriyor olur muydun
konar olmayacakmış,konar olmayacakmış
heyecanlanmayacak mıydık,heyecanlanacak mıydık
karnabaharlarınıza,karnabaharlarınıza
irkeneklermiş,irkeneklermiş
âşık olacak mıymışım,âşık olacak mıyım
delirmelisiniz,delirmelisiniz
aşık attırıyor olacaktık,aşık attırıyor olacaktık
koşulmuş olmayacak mıydım,koşulmuş olmayacaktım
kanarmışsınız,kanarmışsınız
viskiye,viskiye
şaşılıyor olmalılar mıydı,şaşılıyor olmalılar mıydı
acıktırmamalı mıymış,acıktırmamalı mıymış
cezalandırmış olmayacak mıydınız,cezalandırmış olmayacak mıydınız
temizliyor olmalı mıydı,temizliyor olmalı mıydı
bulunmamalılar mıymış,bulunmamalılar mıydı
sürttünüz,sürttünüz
sererler,sererler
kozalarınızın,kozanızın
dolap çevirmiştim,dolap çevirmiştim
satın almamışlar,satın almamışlar
mağaralar,mağaraları
koylarında,koyları
uğratırlardı,uğratırlardı
bürokrattan,bürokratta
uyumuş olmayacaklar mı,uyumuş olmayacaklar
atmayacak mıydın,atmayacak mıydın
mamaya,mamanı
doğuyor olmayacak mıyız,doğuyor olacak mıyız
getirmemeli miydiniz,getirmemeli miydiniz
dünya,dünyayı
canlandırmamalı mıydı,canlandırmamalı mıydı
verdirirmişsiniz,verdirirmişsiniz
sakallar,sakalları
işleecek olacak mıymışsınız,işleecek olacak mıymışsınız
katılaşmadı,katılaşmadı
çalmamalı mıydın,çalmameli miydin
atıştırıyor olmayacak mısınız,atıştırıyor olmayacak mısınız
çıkardınız,çıkardınız
papazlarmış,papazlarmış
tutkumuza,tutkumuza
programlatır olmayacak mıymışsın,programlatır olmayacak mıymışsın
alıçlarımızda,alıçlarımızda
dürecek olmayacakmış,dürecek olmayacak
yediriyor olacaklar mı,yediriyor olacaklar mı
üşenmezmiş,üşenmezmiş
havai fişeklerin,havai fişeklerinin
kızmamışmışsın,kızmamışmışın
mektuplarınıza,mektuplarınıza
gelişmez miydin,gelişmez miydin
tükürüyor olmayacak mıymışız,tükürüyor olmayacak mıymışız
bitmiyordunuz,bitmiyordunuz
bağlıyor muydunuz,bağlıyor muydunuz
deşecekmiş,deşecekmiş
gelirlerin,gelirleri
ayarlatmazdım,ayarlatmazdım
delilerinin,delilerinin
saymamış mıyım,saymamış mıyım
dürüyorlar mıydı,dürüyor muydu
seçilmemeli miymişim,seçilmemeli miymişim
pipetmişler,pipetmiş
dürmüştük,dürmüştük
aşar olmayacak mıymışsın,aşar olmayacak mıymışsın
kümelerini,kümeleri
birleştirtmiş olmayacak mıydım,birleştirtmiş olmayacak mıydım
fahişemiz,fahişemiz
buluşmuş olmayacak,buluşmuş olmayacak
onarıyor olmamalılar,onarıyor olmamalılar
koltuğun,koltuğuna
bilir miydi,biler miydi
ısırmış olacaktık,ısırmış olacaktık
yarar olacak mıymışız,yarar olacak mıymışız
yolunmalı mıydı,yolunmalı mıydı
yüzüncüyüm,yüzüncüyüm
sıcaklığı,sıcaklıkta
nefes alır mıymış,nefes alır mıymış
günahkârı,günahkârı
dağlıya,dağlına
ermiş olacaklar mıydı,ermiş olacak mıydı
donatımın,donatımında
canlanmıyor olmamalı mıymış,canlanmıyor olmamalı mıymış
kızmamışlar mıymış,kızmamışlar mıymış
ovuyor olmayacak mı,ovuyor olmayacak mı
süpürüyor olacaktı,süpürüyor olacaktı
çarmıha geriyor muydum,çarmıha geriyor muydum
dildolarına,dildolarına
bardaklar,bardaklar
deliğin,deliği
iblisin,iblisi
karaciğeri,karaciğeri
bileecek olmayacak mıymışım,bilecek olmayacak mıymışım
kanıtlamayacak mıydınız,kanıtlamayacak mıydınız
dermeyecektiniz,dermeyecektiniz
büktürülmedi miydi,büktürülmedi miydi
taklitçi olmuştum,taklitçi olmuştum
sıvılaştılar,sıvılaştılar
donduracak olacak mıymış,donduracak olacak mı?
örecek olmayacağız,örecek olmayacağız
kırdıracakmışız,kırdıracakmışız
köpürtüyor olmamalı mıydım,köpürtüyor olmamalı mıydım
papatyasında,papatyanda
gösteriyor muydu,gösteriyor muydu
vakit,vakti
canlanıyor olmamalı mısın,canlanıyor olmamalı mısın
klatratının,klatratının
seslenmemişmişsiniz,seslenmemişmişsiniz
ayarlanmıyor,ayarlanmıyor
yolundururmuşsunuz,yolundururmuşsunuz
hareket etmiş olacaklar mıydı,hareket etmiş olacaklar mıydı
filozofumuza,filozofumuza
korkuyorlar mıymış,korkuyorlar mıymış
menekşesini,menekşesini
kış uykusuna yatacak olmayacaksınız,kış uykusuna yatacak olmayacaksınız
babacansınız,babacanlarsınız
kürkler,kürkleri
sugeçirmez yapmış olacaklar mıydı,sugeçirmez yapmış olacaklar mıydı
şaşırtmamışlar mıymış,şaşırtmamışlar mıymış
ekşitmiyor muyuz,ekşitmiyor muyuz
susuyor olmamalısın,susuyor olmamalısın
yangınına,yangınına
seslenmiyoruz,seslenmiyoruz
yontulacak olacakmış,yontulacak olacakmış
ürümüş olacaklar mıydı,ürümüş olacak mıydı
savunacak olacağım,savunacak olacağım
tıkmayacakmışsınız,tıkacakmışsınız
ölçmüyordunuz,ölçmüyordunuz
kıydı mıydın,kıydı mıydın
saklayacak olacak,saklayacak olacak
ikincil sürümlerinde,ikincil sürümlerinde
verilmezdik,verilmezdik
üzecekmişsin,üzecekmişsin
sarılıyor olmamalı mıymışım,sarılıyor olmamalı mıymışım
attırmelisiniz,attırmelisiniz
ilerletmiş misin,ilerletmiş misin
cezalandırmış mıymışsın,cezalandırmış mıymışsın
fenerlerin,fenerlerinin
ittirtiyor olmayacaklar mıymış,ittirtiyor olmayacaklar mıymış
dişleklerine,dişleklerine
kıskanmıyor,kıskanmıyor
fırınımızı,fırınımızı
yaratıyorlar mıymış,yaratıyorlar mıymış
dilberinde,dilberinde
diziyor olmamalı mıydı,diziyor olmamalı mıydı
kokluyor olmamalı mıymışım,kokluyor olmamalı mıymışım
dışkısından,dışkından
iyileştirir olmayacak mıymışsın,iyileştirir olmayacakmışsın
gülünçleşmemeli miymiş,gülünçleşmemeli miymiş
ilerletiyor olmayacaklar mı,ilerletiyor olmayacaklar mı
ulumuyor mu,ulumuyor mu
demlemez misin,demlemez misin
cızlamı çekmezler,cızlamı çekmezler
değişkendiniz,değişkendiniz
yalıyor olmamalı mıydınız,yalıyor olmamalı mıydınız
bulayacak mıymışım,bulacak mıymışım
havuzlarımızdan,havuzlarımızdan
bozuyor olmalıymış,bozuyor olmalıymış
canlandırmayacaklar,canlandırmayacaklar
yağınız,yağınız
satıyor olmazdı,satıyor olmazdı
sayacak olmayacakmışsınız,sayacak olpacakmışsınız
dadılarına,dadınıza
âlimlerdi,âlimlerdi
taşağın,taşakı
tıraş oluyor olacaklardı,tıraş oluyor olacaklardı
lügatçemiz,lügatçemiz
sürülüyorlar mı,sürülüyor mu
diliyor olmamalılar mıymış,diliyor olmamalılar mıymış
boğmalıymış,boğmalıymış
sunulmayacak mı,sunulmayacak mı
süründürmemeliyiz,süründürmemeliyiz
kaynaşır olmayacak mıymışsınız,kaynaşır olmayacak mıymışsınız
yarar olmayacak mıymışsınız,yarar olmayacak mıymışsınız
toprak olacak mısınız,toprak olacak mısınız
korkarmışız,korkarmışız
atmazlar,atmazlar
verdirecekmiş,verdirecekmiş
düzeltmiş olmayacaktın,düzeltmiş olmayacaktın
donduracağız,donduracağız
sanmışız,sanmışız
emetofobiler,emetofobileri
dağıtıyor olacakmışsınız,dağıtıyor olacakmışsınız
ilklendirmeyecek mi,ilklendirmeyecek mi
sabahlarında,sabahlarında
ölüyor olacak mıydı,ölüyor olacak mıydı
bölüyor muydum,böluyor muydum
şehirlerinizin,şehirlerinizin
yoluyor olacakmış,yoluyor olacakmış
muzun,muzun
damlamamış mıyım,damlamamış mıyım
yapışacak mıymışım,yapışacakmışım
açılmalı mıydınız,çılmalı mıydınız
yetiştirir olmayacak mıymışsın,yetiştirir olmayacak mıymışsın
programlanıyor olmamalı mıymışsınız,programlanıyor olmamalı mıymışsınız
büyüleyici değildiniz,büyüleyici değildiniz
işkencecimize,işkencecimize
kılıyor muydum,kılıyor muydum
cezalandırdılar,cezalandırdı
mühendislerin,mühendisleri
saklıyormuşum,saklıyormuşum
kalıbı dinlendirmiş olmayacaktı,kalıbı dinlendirmiş olmayacak
tutacak olacaksınız,tutacak olacaksınız
kırıklarımızda,kırıklarımızda
ağd yapıyor olurdun,ağd yapıyor olurdun
bayılmalarını,bayılmaları
damlıyor olmayacaklar mı,damlıyor olmayacaklar mı
aileden,ailede
taklitçi olmamalıydınız,taklitçi olmamalıydınız
satışlarsınız,satıslarsınız
bıçaklamışmışız,bıçaklamışmışız
üremiş olmayacaktık,üremiş olmayacaktık
yendirtmediniz,yendirtmediniz
çiziyor olmayacak mıyım,çiziyor olmayacak mıyım
lokantalarınızı,lokantanızı
yarağından,yarakından
gelişmiş misin,gelişmiş mi
sünecek olacakmış,sünecek olacakmış
heyecanlandırıyor olacaklar mıymış,heyecanlandırıyor olacak mıymış
kopacak olacak mıymış,kopacak olacak mı?
zürriyetinde,zürriyetinde
kırtasiyeymişsiniz,kırtasiyeymişsiniz
görüntüleri,görüntüleri
yazmamalıydın,yazmamalıydın
öğretirmişim,öğretirmişim
kıskanmışmışım,kıskanmışmışım
süpürüyor olmalılar mı,süpürüyor olmalılar mı
yapmayacaklar,yapmayacaklar
ettirtir olmayacak mıymışsın,ettirtir olmayacak mıymışsın
bilemiş misin,bilemiş misin
kızacak olmayacak,kızacak olmayacak
çekicimize,çekicimize
seriyor olmayacak mısınız,seriyor olmayacak mısınız
vuruyor olmalı mıydı,vuruyor olmalı mıydı
kazmış mıymışsın,kazmış mıymışsın
öğütmemeliydim,öğütmedim
memleketin,memleketinin
ekşimeli miydin,ekşimeli miydin
sinirlendirmemeliydik,sinirlendirmemeliydik
yapılmamış mıymış,yapılmamış mı
yapılıyor olur muydum,yapılıyor olur muydum
imamlarınızı,imamınızı
ovmalı mıymışım,ovmalı mıydım
getiriyor olmayacak mısın,getiriyor olmayacak mısın
sönecek olmayacaksınız,sönecek olmayacaksınız
döndürmedi,döndürmedi
dirilir olacaklar mıymış,dirler olacaklar mıymış
başaracak olacaklar,başaracak olacaklar
kırdırtır olacakmışsınız,kırdırtır olacakmışsınız
varmazlar,varmazlar
büyülü müydün?,büyülü müydün?
kazıyor olmayacaklarmış,kazıyor olmayacaklarmış
çıkarırmışsınız,çıkarırmışız
vibratörler,vibratörleri
tıklamıyormuş,tıklamıyormuş
ölçmüş olmayacaklardı,ölçmüş olmayacaklardı
ölçmemeli miyiz,ölçmemeli miyiz
dize geliyor olmayacaktım,dize geliyor olmayacaktım
yetmiyor muydunuz,yetmiyor muydunuz
cüce gezegenlerden,cüce gezegenlere
küsmeyecekler,küsmeyecekler
büktürtülmeli miydi,büktürtülmeli miydi
iğdelerden,iğdelere
yırtmış olmayacaklardı,yırtmış olmayacaklardı
deliriyor olacak mıydı,deliriyor olacak mıydı
silkmeli miydim,silkmeli miydim
tanıtacak olmayacakmışsın,tanıtacak olmayacakmışsın
yaratmalardan,yaratmalarba
uğratılıyor olacakmışım,uğratılıyor olacakmışım
yolduruyor olacak mı,yolduruyor olacak mı
asidi,asidi
askıdan,askından
ilerletiyor olmayacak mı,ilerletiyor olmayacak mı
tüttüm,tüttüm
lunaparkları,lunaparkarı
cavlağı çekiyor olmayacak mıymış,cavlağı çekiyor olmayacak mıymış
sikiliyor olacakmışsınız,sikiliyor olacakmışsınız
şikâyet ediyor olmalı mısınız,şikâyet ediyor olmalı mısınız
geçinecek olmayacak mıymışım,geçinecek olmayacak mıymışım
sürülmemiş miymişiz,sürülmemiş miymişiz
izlemiş olmayacak mıyız,izlemiş olmayacak mıyız
bilmiş olacaktık,bilmiş olacaktık
yerleşir olmayacak mıymışım,yerleşir olmayacak mıymışım
ölecek miydiniz,ölecek miydiniz
sürücülermiş,sürücülermiş
zurnalarımızda,zurnalarımızda
papaz oluyor olacaksın,papaz oluyor olacaksın
ilerletmişlermiş,ilerletmişler
cartayı çekmezdik,cartayı çekmezdik
vurur muyduk,vurur muyduk
diyapazonlarımızın,diyapazonlarımızın
aldırdılar mıydı,aldırdı mıydı
saydırmış mıydın,saydırdı mıydın
beklemiş olacak mısınız,beklemiş olacak mısınız
döner miydi,döner miydi
pasifler,pasifler
katamaranının,katamaranının
tabanlarınız,tabanlarınız
kullanmayacak mıymışız,kullanmayacak mıymışız
yanıt vermiş olacaktık,yanıt vermiş olacaktık
arınıyor olmalı mıydınız,arınıyor olmalı mıydınız
hava atıyor olacakmışsınız,hava atıyor olacakmışsınız
yedirecek olacak,yedirecek
pastırmadan,pastırmada
bildirmiş olacaktım,bildirmiş olacaktım
boğacak olmayacaklar,boğacak olmayacaklar
yoksullaştırmalılar mıydı,yoksullaştırmalılar mıydı
pişirirsiniz,pişirirsin
bitirtiyor olmamalı mıymışım,bitirtiyor olmamalı mıymışım
kaynaştırtmadı mıydım,kaynaştırtmadı mıydım
bir avuç toprak oluyor olmazdık,bir avuç toprak oluyor olmazdık
susmuyormuş,susmuyormuş
yanıt veriyor olmayacak mıymışız,yanıt veriyor olmayacak mıymışız
yormuş olmayacaktık,yormuş olmayacaktık
soğurdum,soğurdum
kovdurtuyorsun,kovdurtuyorsun
Museviyi,Museviyi
üzülmüyoruz,üzülmüyoruz
programlattırmadı mıydı,programlattırmadı mıydı
sürtecek olacaklar,sürtecekler miydi
koruyucularının,koruyucularının
güzelleştirmiştik,güzelleştirmiştik
nalları dikiyor olmalıymış,nalları dikiyor olmalı
canlanmamaz mıyım,canlanmamaz mıyım
süzmüşler miymiş,süzmüşler miymiş
gönderiyor olmayacak mıymışsınız,gönderiyor olmayacak mıymışsınız
geğiriyor olmamalı mısın,geğiriyor olmamalı mısın
tarıyor muymuş,tarıyor muymuş
yazmış olmayacak mıydım,yazış olmayacak mıydım
öğütürmüşüm,öğütürmüşüm
hava atacak olmayacak mısın,hava atacak olmayacak mısın
silkmemişler,silkmişler
veriliyor olmamalılardı,veriliyor olmamalılardı
oyalıyor muydum,oyalıyor muydum
artı sayılarına,artı sayılarına
yarameli mi,yarameli mi
geçmişlerini,geçmişleri
yapmazmış,yapmazmış
gondolunun,gondolunun
kovdurtmameliler,kovdurtmameliler
götürmeyecekmişiz,götürmeyecekmişiz
kırılmamalılarmış,kırılmamalılarmış
yuvarlar mıydınız,yuvarlar mıydınız
ölçmüşüz,ölçmüşüz
kuyruğu titretmiş olacaktım,kuyruğu titretmiş olacaktım
kullanmış mıydın,kullanmış mıydın
beneğini,bineğini
diyapazonların,diyapazonlare
iç ağlarını,iç ağlarını
helak olmalı mıymışım,helak olmalı mıydım
aldattı mıydın,aldattı mıydın
düzeltecekmişiz,düzeltecekmişiz
eskimeliler miydi,eskimeliler miydi
ölçülüyorlarmış,ölçülüyorlarmış
dörtgenden,dörtgende
pisletmiş miymiş,pisletmiş miymiş
ateşe vermemeliydiniz,ateşe vermemeliydiniz
nişanlıymışlar,nişanlımış
gizliyor olmamalıydı,gizliyor olmamalıydı
katılaştırdı mı,katılaştırdı mı
oturmadı,oturmadı
alıyor olmamalıymışsın,alıyor olmamalıymışsın
fındık kırıyor olmayacak mıymış,fındık kırıyor olmayacak mıymış
uyumuş olacaktık,uyumuş olacaktık
kaçtık,kaçtık
kılıcı,kılıçı
kırılmıyormuş,kırılmıyormuş
kırıtmalıydık,kırıtmalıydık
soyuyor olmalı mıymış,soyuyor olmalı mıymış
sıkıyor muydunuz,sıkıyor muydunuz
geriyor olmamalı mıydınız,geriyor olmamalı mıydınız
gerinmemeli miydi,gerinmemeli miydi
sugeçirmez yapıyor olmayacakmış,sugeçirmez yapıyor olmayacakmış
kıllarımızın,kıllarımızın
bükülmelerine,bükülmelerine
güzelleştiriyor olmamalıymış,güzelleştiriyor olmamalıymış
çağırıyor olmalılar,çağırıyor olmalılar
abartmalı mıymışım,abartmalı mıydım
üşenmelisiniz,üşenmelisiniz
kıyacak mıydın,kıyacak mıydın
yıpranıyordunuz,yıpranıyordunuz
geliştirmeyecek mi,geliştirmeyecek mi
susar olacak mıymış,susar olacak mıymış
fahişelerine,fahişelere
tacını,tacında
cavlağı çekmiyor mu,cavlağı çekmiyor mu
bitirtiyor olmayacaksın,bitirtiyor olmayacaksın
bakıcısınız,bakıcınız
yorar olmayacak mıymışsınız,yorar olmayacak mıymışsınız
önemden,öneminden
dürtmüş olmayacak,dürtmüş olmayacak
kalıba,kalıpı
götürecek olmayacak mısın,götürecek olmayacak mısın
eğlenmemeli miymiş,eğlenmemeli miymiş
uluacak olmayacakmışız,uluacak olmayacakmışız
ateşe verir miymişsiniz,ateşe verir miymişsiniz
bulunuyor olmaz mıydım,bulunuy olmaz mıydım
kovar mıymışsınız,kovmaz mıymışsınız
giyiyor olmazdı,giyiyor olmazdı
flaşlarmış,flaşlarmış
yontacak olmayacağız,yontacak olmayacağız
veledini,veletinde
ürümeyecek miymişiz,ürümeyecek miymişiz
ayılıyor olacak mıydın,ayılıyor olacak mıydın
cehenneme,cehennemine
iletmez miydin,iletmez miydin
kısacak olmayacak mısınız,kısacak olmayacak mısınız
eğitmemeliler miymiş,eğitmemeliler miymiş
kusmazlardı,kusmazlardı
arıyor olmamalısın,çliğ misin
öğütüyor olmayacak mıyım,öğütüyor olmayacak mıyım
bürüyecek olacağım,bürüyecek olacağım
irdeliyor olacaktı,irdiliyor olacaktı
zamanımız,zamanımız
kullanılmış olmayacak mıydım,kullanılmış olmayacak mıyım
canlandırılmalıydım,canlandırılmalıydım
yırtmış olmayacaktık,yırtmış olmayacaktık
aldırtacak olacaklarmış,aldırtacak olacaklarmış
geliyor olmamalı mıydı,geliyor olmamalı mıydı
yardımdan,yardımdan
irdelemeyecek miymişim,irdelemeyecek miymişim
sökmelilermiş,sökmelilermiş
geriniyor olmayacak mıydın,geriniyor olmayacak mıydın
heyecanlandırmayacak mı,heyecanlandırmayacak mı
kalacak olmayacakmışız,kalacak olmayacakmışız
şarapçıları,şarapıları
klişeleriniz,klişeniz
masa,masan
otocuymuşsunuz,otocuymuşsuz
emmeyecekmişsin,emmeyecekmişsin
programlatacak olacak,programlatacak olacak
susuyor muyduk,susuyor muyduk
ayılıyor olmamalıydı,ayılıyor olmamalıydı
değişmişlerdi,değişmişlerdi
taklitçilermiş,taklitçilermiş
yontulmuş olmayacaktı,yontulmuş olmayacaktı
bulunmuyor muydun,bulunmuyor muydun
sunacak olmayacaklar,sunacak olmayacaklar
kediciği,kedicikte
fıstıkların,fıstıklare
saydırtıyor olmalı mıydınız,saydırtıyor olmalı mıydınız
öksürüyor muydunuz,öksürüyor muydunuz
yardımcılıklarınızın,yardımcılıklarınız
klatratlarınız,klatratlarız
öldürtmüş olmayacak,öldürtmüş olmayacak
soğururmuş,soğururmuş
kurtçuktular,kurtçuktu
iyileşiyor olmayacaklar mıymış,iyileşiyor olmayacaklar mıymış
çevreye,çevrene
beziyordu,beziyordu
temizlememiş miymişiz,temizlememiş miymişiz
duruyor mu,duruyor mu
keşkeklerden,keşkeklere
dövüşmüş olmayacağım,dövüşmüş olmayacağım
düşermiş,düşermiş
arşive,arşive
güdüminde,güdümünde
bildiriyor olacaktık,bildiriyor olacaktık
programlattırır olacak mıymış,programlattırır olacak mıymış
baylardır,baylar
odalarımızda,odalarımız
büyüyecek olacaksın,büyüyecek olacaksın
kılıyor olacakmış,kılıyor olacakmış
mermiydiniz,mermiydiniz
geçinmiş olmayacaktık,geçinmiş olmayacaktık
çağanozlarını,çağanozları
uzanıyor olmalı mıymışız,uzanıyor olmalı mıydık
sınıyor olmalı mıymışız,sınıyor olmalı mıymışız
üretecek olmayacaklar mı,üretecekler mi
atmamamışsınız,atmamamışsınız
yanıt verecek olacaksınız,yanıt verecek olacaksınız
canlanılmış olmayacaklardı,canlanılmış olmayacaklardı
öpmemeli miymiş,öpmemeli miymiş
lepisteslerini,lepistesleri
cavlağı çekiyor olmamalılar,cavlağı çekiyor olmamalılar
sinirlendirmemeli miymiş,sinirlendirmemeli miymiş
ayaklardan,ayaklardan
ışıklarını,ışıkları
göndermemeliydim,göndermediydim
sikiliyorduk,sikiliyorduk
temizlemiş olmayacak,temizlemiş olmayacak
cikletler,cikletleri
emmemişsin,emmemişsin
haberleşmez miymiş,haberleşmez miymiş
evlenmeyecek miymişim,evlenmeyecek miymişim
gözlüyorlarmış,gözlüyormuşlar
saklanmış mıymış,saklanmış mı
karıştıracak olmayacaksın,karıştıracak olmayacaksın
damlamayacak mıydım,damlamayacak mıydım
geliyor olmamalıymışsınız,geliyor olmamalıymışsınız
yaptırıyor olmamalıydı,yaptırıyor olmamalıydı
çıkıyor olacakmışsınız,çıkıy olacakmışsınız
gücenmeliymiş,gucenmeliymiş
uymuş olacaklar,uymuş olar
diri miymişim?,diriymişim
şüphe,şüphey
giyiyor olmayacaksınız,giyiyor olmayacaksınız
